"","participant_ID","type","reaction_time","accuracy","TAscore"
"108","P34","GAMBLER",21771.3333333333,1,2.85
"109","P49","catch",3535.75,1,1.7
"110","P49","CONJUNCTION",14833,0.666666666666667,1.7
"111","P49","GAMBLER",7273.33333333333,0.666666666666667,1.7
"112","P49","CRT",12493,1,1.7
"113","P11","catch",5652.75,1,2.3
"114","P11","GAMBLER",21509,1,2.3
"115","P11","CONJUNCTION",32328,1,2.3
"116","P11","CRT",30619,0.666666666666667,2.3
"117","P3","catch",3478.5,1,2.7
"118","P3","CONJUNCTION",29647.6666666667,0.666666666666667,2.7
"119","P3","GAMBLER",13077.6666666667,1,2.7
"120","P3","CRT",20939,0.666666666666667,2.7
"121","P28","catch",5582,1,2.2
"122","P28","CONJUNCTION",32465.6666666667,1,2.2
"123","P28","CRT",36330.6666666667,0.333333333333333,2.2
"124","P28","GAMBLER",20169.6666666667,1,2.2
"125","P4","catch",8524,0.75,2
"126","P4","CRT",23638,0,2
"127","P4","GAMBLER",22039.6666666667,1,2
"128","P4","CONJUNCTION",27045.3333333333,0.666666666666667,2
"129","P26","catch",3170.25,1,1.95
"130","P26","CRT",10639,1,1.95
"131","P26","GAMBLER",10448.3333333333,1,1.95
"132","P26","CONJUNCTION",14101,0.666666666666667,1.95
"133","P23","catch",3555.25,1,1.8
"134","P23","CONJUNCTION",19796,1,1.8
"135","P23","GAMBLER",13744.3333333333,1,1.8
"136","P23","CRT",13090.3333333333,1,1.8
"137","P17","catch",5036.625,0.875,2.6
"138","P17","CRT",20835.1666666667,0.333333333333333,2.6
"139","P17","GAMBLER",16055.8333333333,1,2.6
"140","P17","CONJUNCTION",21815.1666666667,0.333333333333333,2.6
"141","P15","catch",4968.5,1,1.95
"142","P15","GAMBLER",15878.6666666667,0.666666666666667,1.95
"143","P15","CRT",26226.3333333333,0,1.95
"144","P15","CONJUNCTION",24929.6666666667,0,1.95
"145","P41","catch",3926.25,1,1.9
"146","P41","CRT",19742.6666666667,1,1.9
"147","P41","GAMBLER",20838.3333333333,1,1.9
"148","P41","CONJUNCTION",41621.3333333333,0.666666666666667,1.9
"149","P9","catch",5336.5,1,1.5
"150","P9","GAMBLER",18305.3333333333,0.666666666666667,1.5
"151","P9","CONJUNCTION",27925.3333333333,0.333333333333333,1.5
"152","P9","CRT",21272.6666666667,0.333333333333333,1.5
"153","P29","catch",3484,1,2.35
"154","P29","CRT",8051.66666666667,1,2.35
"155","P29","CONJUNCTION",11286.3333333333,1,2.35
"156","P29","GAMBLER",5967.66666666667,1,2.35
"157","P1","catch",6235.5,1,2.15
"158","P1","CRT",19522.6666666667,0,2.15
"159","P1","GAMBLER",22545,1,2.15
"160","P1","CONJUNCTION",35027.3333333333,0.333333333333333,2.15
"161","P14","catch",2201.25,1,2.4
"162","P14","CRT",9718.33333333333,0.666666666666667,2.4
"163","P14","GAMBLER",10420.6666666667,1,2.4
"164","P14","CONJUNCTION",26511.3333333333,0.333333333333333,2.4
"165","P48","catch",3536.25,1,1.45
"166","P48","GAMBLER",15000.6666666667,1,1.45
"167","P48","CONJUNCTION",24129,0.666666666666667,1.45
"168","P48","CRT",16511,0.333333333333333,1.45
"169","P42","catch",4187,1,1.8
"170","P42","CONJUNCTION",48537.3333333333,0.666666666666667,1.8
"171","P42","CRT",26189.6666666667,1,1.8
"172","P42","GAMBLER",20448.3333333333,0.333333333333333,1.8
"173","P12","catch",5878,1,2.1
"174","P12","CONJUNCTION",30203.3333333333,0,2.1
"175","P12","GAMBLER",36587,0.666666666666667,2.1
"176","P12","CRT",31059.6666666667,0,2.1
"177","P10","catch",8721.5,1,3.45
"178","P10","GAMBLER",59776.6666666667,1,3.45
"179","P10","CRT",26647,0.333333333333333,3.45
"180","P10","CONJUNCTION",41800.3333333333,0,3.45
"181","P22","catch",2767,1,2.05
"182","P22","CONJUNCTION",8425.66666666667,1,2.05
"183","P22","CRT",13624,1,2.05
"184","P22","GAMBLER",8226,1,2.05
"185","P27","catch",4333,1,2.7
"186","P27","CONJUNCTION",43217,0.333333333333333,2.7
"187","P27","GAMBLER",15499,1,2.7
"188","P27","CRT",26688.6666666667,1,2.7
"189","P40","catch",3111.75,1,1.95
"190","P40","CONJUNCTION",22592.3333333333,0.666666666666667,1.95
"191","P40","GAMBLER",10859,1,1.95
"192","P40","CRT",15570.6666666667,1,1.95
"193","P43","catch",12408.25,1,2.35
"194","P43","GAMBLER",19093,1,2.35
"195","P43","CRT",25070.6666666667,0.333333333333333,2.35
"196","P43","CONJUNCTION",23859.3333333333,0,2.35
